"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
668509,3225,9760,"slovinsko-hory-mo¯e-a-jezera-slovinska.htm","Zajezd",3,"Neni",-1,"Horska turistika",3,60,143,4
668510,3140,9760,"v˝stup-na-triglav.htm","Zajezd",3,"Neni",-1,"Horska turistika",3,120,313,5
668511,4017,9760,"slovinsko.htm","Zajezd",3,"Neni",-1,"Horska turistika",3,120,335,6
668513,4060,9760,"morava-vÌkend.htm","Zajezd",3,"Neni",-1,"Voda",2,60,184,8
668514,3610,9760,"s·zava-vÌkend.htm","Zajezd",3,"Neni",-1,"Voda",2,60,191,9
668515,3791,9760,"odra-vÌkend.htm","Zajezd",3,"Neni",-1,"Voda",2,30,99,10
668517,4399,9761,"zeme~116","Hledani",2,"DleZeme",2,"Obecne",1000,120,203,2
668518,3135,9761,"skotsko-velk˝-okruh-skotskem.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,62,3
668516,4612,9761,"n_search.asp","Hledani",2,"Rozsirene",3,"Obecne",1000,60,60,1
668519,3044,9762,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668520,3058,9762,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,30,50,2
668521,3775,9762,"golf","Hledani",2,"Katalog",5,"Golf",25,60,125,3
668522,3790,9762,"tunis-golf-camp-djerba-tunis.htm","Zajezd",3,"Neni",-1,"Golf",25,30,71,4
668523,3044,9763,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,240,240,1
668524,3064,9763,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,120,203,2
668525,3065,9763,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,120,251,3
668526,4044,9764,"rakousko-pohodov˝-t˝den-v-alp·ch-vi.-?-klammstein.htm","Zajezd",3,"Neni",-1,"Alpy",22,30,30,1
668527,3054,9766,"korsika","Hledani",2,"Katalog",5,"Korsika",11,30,30,1
668528,3127,9767,"norsko-nejkr·snÏjöÌ-turistickÈ-trasy-st¯ednÌho-norska.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s lehkou turistikou",19,30,30,1
668529,3044,9768,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668530,3056,9768,"pobyty-s-vylety","Hledani",2,"Katalog",5,"Pobyty s vylety",6,60,101,2
668532,3129,9768,"poznavaci-zajezdy","Hledani",2,"Katalog",5,"Poznavaci zajezdy s ubytovanim",8,120,286,4
668531,3347,9768,"francie-s-v˘nÌ-atlantiku-.htm","Zajezd",3,"Neni",-1,"Pobyty s vylety",6,720,1511,3
668533,3249,9768,"kaÚony-a-ostrovy-jihu-francie.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,78,5
668534,4443,9769,"cykloturistika-zahranici","Hledani",2,"Katalog",5,"Cyklo",4,30,30,1
668535,3146,9770,"poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668536,3046,9770,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,50,2
668537,3045,9770,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,62,3
668539,3049,9770,"rafting","Hledani",2,"Katalog",5,"Rafting",24,60,156,5
668541,3045,9770,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,88,7
668538,3106,9770,"rumunsko-dunajsk·-delta-na-lodÌch-i-suchou-nohou.htm","Zajezd",3,"Neni",-1,"Turistika",1,300,715,4
668540,4295,9770,"rakousko-steyr-a-enns-?-nejoblÌbenij?Ì-klasika.htm","Zajezd",3,"Neni",-1,"Rafting",24,60,167,6
668543,3058,9771,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,60,101,2
668544,3182,9771,"skialpinismus-lyzovani","Hledani",2,"Katalog",5,"Lyze",9,30,62,3
668542,3185,9771,"maroko-maroko-perla-maghrebu-pozn·vacÌ-z·jezd.htm","Zajezd",3,"Neni",-1,"Turistika",1,60,60,1
668545,3044,9772,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668546,3175,9772,"turistika-alpy","Hledani",2,"Katalog",5,"Alpy",22,30,50,2
668547,3044,9773,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668553,3044,9773,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,176,7
668554,3044,9773,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,92,8
668548,3158,9773,"horolezecka-skola","Hledani",2,"Katalog",5,"Horolezecka skola",14,30,50,2
668550,3057,9773,"hotelbusy","Hledani",2,"Katalog",5,"Hotelbusy",17,30,71,4
668552,3158,9773,"horolezecka-skola","Hledani",2,"Katalog",5,"Horolezecka skola",14,30,83,6
668555,3049,9773,"rafting","Hledani",2,"Katalog",5,"Rafting",24,30,95,9
668549,3317,9773,"zimnÌ-horoökola.htm","Zajezd",3,"Neni",-1,"Horolezecka skola",14,60,125,3
668551,3317,9773,"zimnÌ-horoökola.htm","Zajezd",3,"Neni",-1,"Horolezecka skola",14,30,78,5
668556,3044,9774,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668561,3044,9774,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,167,6
668557,3046,9774,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,50,2
668558,3074,9774,"cykloturistika-zahranici","Hledani",2,"Katalog",5,"Cyklo",4,30,62,3
668559,3175,9774,"turistika-alpy","Hledani",2,"Katalog",5,"Alpy",22,60,143,4
668560,3075,9774,"n_kdojsme.asp","Info",4,"Kdo jsme",10,"Obecne",1000,30,78,5
668562,3065,9774,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,60,176,7
668563,3044,9775,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668564,3052,9775,"daleke-poznavaci-cesty","Hledani",2,"Katalog",5,"Exotika",5,120,203,2
668565,3598,9775,"barma-(myanmar).htm","Zajezd",3,"Neni",-1,"Exotika",5,30,62,3
668566,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,360,360,1
668568,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,62,3
668570,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,78,5
668579,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,109,14
668581,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,420,1584,16
668582,3044,9776,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,114,17
