LocalID;VisitID;OdkazujiciStranka;TypOdkazovace;VstupniStranka;VstupniStrankaKat;VstupniStrankaRozKat;VstupniStrankaScore;KonverzeStranka;KonverzeStrankaKat;KonverzeStrankaRozKat;KonverzeStrankaScore;Konverze;VystupniStranka;VystupniStrankaKat;VystupniStrankaRozKat;VystupniStrankaScore;NavstivenoStranek;CelkovyCas;DenVTydnu;HodinaDne;NejTema;NejTemaScore;SirkaZajmu;PosilatNovinky;ZaslatKatalog;Slevy;Prihlaska;KdoJsme;Pojisteni;agregInfo;agregHledani;HledaniZeme;HledaniRozsirene;HledaniKW;HledaniKatalog
118011;9656;URI_9;katalog;www.poznani.cz;Info;Homepage;60;;;;0;0;liparské-ostrovy-.htm;Zajezd;Neni;83;6;480;Tuesday;21;Ubytovani a doprava;552;6;0;0;71;0;0;0;60;590;50;0;0;540
118012;9657;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;ostrovy-jadranu-istrijská-a-slovinská-riviéra.htm;Zajezd;Neni;88;7;540;Tuesday;21;Pobyty s vylety;1265;7;0;0;0;0;0;0;30;464;0;0;0;464
118019;9664;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;rakousko-pohoří-totes-gebirge.htm;Zajezd;Neni;111;15;1440;Tuesday;22;Horska turistika;2814;14;0;0;0;0;0;0;30;1058;0;0;0;1058
118030;9676;URI_38;Fulltext;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;60;;;;0;0;korsika;Hledani;Katalog;62;3;180;Tuesday;22;Korsika;265;3;0;0;0;0;0;0;0;325;0;60;0;265
118031;9677;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;francie-paříž-versailles-a-fontainebleau.htm;Zajezd;Neni;78;5;180;Tuesday;22;Poznavaci zajezdy s ubytovanim;501;5;0;0;0;0;0;0;30;101;0;0;0;101
118033;9679;URI_111;Neni;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;60;;;;0;0;egypt-zemí-faraonů-(egypt-sinaj)-dovolená-2005-poznávací-zájezd.htm;Zajezd;Neni;83;6;360;Tuesday;22;Turistika;429;6;0;0;0;0;0;0;0;60;0;60;0;0
118039;9685;URI_0;Neni;www.poznani.cz;Info;Homepage;420;;;;0;0;ukrajina-podkapatská-rus-pohodové-toulky-podkarpatskou-rusí-dovolená-2005.htm;Zajezd;Neni;939;5;480;Tuesday;23;Poznavaci zajezdy s lehkou turistikou;939;4;0;0;0;0;125;0;595;71;0;0;0;71
118043;9690;URI_45;Fulltext;zeme~2;Hledani;DleZeme;60;;;;0;0;pobyty-s-vylety;Hledani;Katalog;88;7;360;Tuesday;23;Poznavaci zajezdy s ubytovanim;335;7;0;0;0;0;0;0;0;704;60;0;0;644
118049;9696;URI_30;OstatniNerozliseno;www.poznani.cz;Info;Homepage;60;;;;0;0;lastminute;Hledani;Katalog;71;4;120;Wednesday;0;Turistika;125;4;0;0;71;0;0;0;60;246;0;0;0;246
118054;9701;URI_42;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;rafting;Hledani;Katalog;88;7;840;Wednesday;1;Rafting;1918;7;0;0;0;0;0;0;60;753;0;0;0;753
118055;9702;URI_9;katalog;www.poznani.cz;Info;Homepage;30;;;;0;0;bulharsko-pobyt-s-výlety-dovolená-2005-.htm;Zajezd;Neni;62;3;60;Wednesday;0;Bulharsko;163;3;0;0;0;0;0;0;30;101;0;0;0;101
118060;9707;URI_45;Fulltext;poznani.cz;Info;Homepage;60;;;;0;0;zajezdy-se-stany;Hledani;Katalog;71;4;240;Wednesday;2;Exotika;203;4;0;0;0;0;0;0;60;399;0;125;0;274
118065;9712;URI_44;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;turecko-turecké-západní-pobřeží-.htm;Zajezd;Neni;62;3;120;Wednesday;6;Poznavaci zajezdy s ubytovanim;163;3;0;0;0;0;0;0;60;101;0;0;0;101
118066;9713;URI_42;Fulltext;korsika;Hledani;Katalog;60;;;;0;0;lastminute;Hledani;Katalog;71;4;420;Wednesday;6;Exotika;377;4;0;0;71;0;0;0;0;508;0;0;0;508
118069;9716;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;slovinsko.htm;Zajezd;Neni;62;3;120;Wednesday;6;Horska turistika;163;3;0;0;0;0;0;0;60;101;0;0;0;101
118072;9719;URI_0;Neni;www.poznani.cz;Info;Homepage;120;;;;0;0;n_novinky-zajezdy.asp;Info;Posilat novinky;78;5;360;Wednesday;7;Alpy;553;5;78;0;71;0;0;0;198;121;0;0;0;121
